,assignee,creator,description,key,reporter,summary
1514,,Venkatesh Sivasubramanian,"Sorry to set it ""Blocker""; but the problem makes SpringXD unusable. We are getting this weird, NoNode exception on the status ZNode. Example and Log given below. Once this happens, both streams and jobs cannot be deployed. For whatever reason the ""status"" znode goes missing.  

The only way for us to get the cluster back to working state, is to clear the zk znode /xd tree and restart spring-xd. At which point, we have to recreate all our streams and jobs back again.. 

/xd/deployments/streams/testCreateStream_SrcHttp_SinkFile1413234903170/status

NoNode Exception:

13 Oct 2014 14:16:16,044   INFO DeploymentSupervisorCacheListener-0 server.InitialDeploymentListener - Path cache event: /deployments/streams/testDestroyStream1413234903170, type: CHILD_REMOVED
13 Oct 2014 14:16:16,705   INFO DeploymentSupervisorCacheListener-0 server.InitialDeploymentListener - Path cache event: /deployments/streams/testListStreams1413234903170, type: CHILD_ADDED
13 Oct 2014 14:16:22,818   INFO DeploymentSupervisorCacheListener-0 server.InitialDeploymentListener - Path cache event: /deployments/streams/testListStreams1413234903170, type: CHILD_REMOVED
13 Oct 2014 14:16:23,585   INFO DeploymentSupervisorCacheListener-0 server.InitialDeploymentListener - Path cache event: /deployments/streams/testStreamSrcHttpTimeseriesSink1413234903170, type: CHILD_ADDED
13 Oct 2014 14:16:37,694   INFO DeploymentSupervisorCacheListener-0 server.InitialDeploymentListener - Path cache event: /deployments/jobs/filetsjob-newjob001, type: CHILD_ADDED
13 Oct 2014 14:16:49,950   INFO DeploymentSupervisorCacheListener-0 server.InitialDeploymentListener - Path cache event: /deployments/streams/testStreamSrcHttpTimeseriesSink1413234903170, type: CHILD_REMOVED
13 Oct 2014 14:16:54,490   INFO Deployer server.StreamDeploymentListener - Deployment status for stream 'testCreateStream_SrcHttp_SinkFile1413234903170': DeploymentStatus{state=failed,error(s)=Deployment of module 'ModuleDeploymentKey{stream='testCreateStream_SrcHttp_SinkFile1413234903170', type=sink, label='file'}' to container 'd03bccd6-524b-4ff8-84d2-88f3f6daac42' timed out after 30000 ms; Deployment of module 'ModuleDeploymentKey{stream='testCreateStream_SrcHttp_SinkFile1413234903170', type=source, label='http'}' to container '52abf1c8-ba45-4994-8324-6079b03c670c' timed out after 30000 ms}
13 Oct 2014 14:16:54,493  ERROR Deployer server.InitialDeploymentListener - Exception caught while handling event
org.springframework.xd.dirt.zookeeper.ZooKeeperAccessException: KeeperErrorCode = NoNode for /xd/deployments/streams/testCreateStream_SrcHttp_SinkFile1413234903170/status
        at org.springframework.xd.dirt.zookeeper.ZooKeeperUtils.wrapThrowable(ZooKeeperUtils.java:111)
        at org.springframework.xd.dirt.zookeeper.ZooKeeperUtils.wrapThrowable(ZooKeeperUtils.java:95)
        at org.springframework.xd.dirt.server.StreamDeploymentListener.deployStream(StreamDeploymentListener.java:185)
        at org.springframework.xd.dirt.server.StreamDeploymentListener.onChildAdded(StreamDeploymentListener.java:100)
        at org.springframework.xd.dirt.server.InitialDeploymentListener$EventHandler.call(InitialDeploymentListener.java:217)
        at org.springframework.xd.dirt.server.InitialDeploymentListener$EventHandler.call(InitialDeploymentListener.java:186)
        at java.util.concurrent.FutureTask.run(FutureTask.java:262)
        at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1145)
        at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:615)
        at java.lang.Thread.run(Thread.java:744)
Caused by: org.apache.zookeeper.KeeperException$NoNodeException: KeeperErrorCode = NoNode for /xd/deployments/streams/testCreateStream_SrcHttp_SinkFile1413234903170/status
        at org.apache.zookeeper.KeeperException.create(KeeperException.java:111)
        at org.apache.zookeeper.KeeperException.create(KeeperException.java:51)
        at org.apache.zookeeper.ZooKeeper.setData(ZooKeeper.java:1270)
        at org.apache.curator.framework.imps.SetDataBuilderImpl$4.call(SetDataBuilderImpl.java:274)
        at org.apache.curator.framework.imps.SetDataBuilderImpl$4.call(SetDataBuilderImpl.java:270)
        at org.apache.curator.RetryLoop.callWithRetry(RetryLoop.java:107)
        at org.apache.curator.framework.imps.SetDataBuilderImpl.pathInForeground(SetDataBuilderImpl.java:266)
        at org.apache.curator.framework.imps.SetDataBuilderImpl.forPath(SetDataBuilderImpl.java:253)
        at org.apache.curator.framework.imps.SetDataBuilderImpl.forPath(SetDataBuilderImpl.java:41)
        at org.springframework.xd.dirt.server.StreamDeploymentListener.deployStream(StreamDeploymentListener.java:179)
        ... 7 more
13 Oct 2014 14:16:56,251   INFO DeploymentSupervisorCacheListener-0 server.InitialDeploymentListener - Path cache event: /deployments/jobs/filetsjob-newjob001, type: CHILD_REMOVED
13 Oct 2014 14:17:08,179   INFO Deployer server.JobDeploymentListener - Deployment status for job 'filetsjob-newjob001': DeploymentStatus{state=failed,error(s)=Deployment of module 'ModuleDeploymentKey{stream='filetsjob-newjob001', type=job, label='filepolltimeseries'}' to container '244d5076-f69d-42a4-8110-3b046cea2667' timed out after 30000 ms}
13 Oct 2014 14:17:08,181  ERROR Deployer server.InitialDeploymentListener - Exception caught while handling event
org.springframework.xd.dirt.zookeeper.ZooKeeperAccessException: KeeperErrorCode = NoNode for /xd/deployments/jobs/filetsjob-newjob001/status
        at org.springframework.xd.dirt.zookeeper.ZooKeeperUtils.wrapThrowable(ZooKeeperUtils.java:111)
        at org.springframework.xd.dirt.zookeeper.ZooKeeperUtils.wrapThrowable(ZooKeeperUtils.java:95)
        at org.springframework.xd.dirt.server.JobDeploymentListener.deployJob(JobDeploymentListener.java:175)
        at org.springframework.xd.dirt.server.JobDeploymentListener.onChildAdded(JobDeploymentListener.java:99)
        at org.springframework.xd.dirt.server.InitialDeploymentListener$EventHandler.call(InitialDeploymentListener.java:217)
        at org.springframework.xd.dirt.server.InitialDeploymentListener$EventHandler.call(InitialDeploymentListener.java:186)
        at java.util.concurrent.FutureTask.run(FutureTask.java:262)
        at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1145)
        at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:615)
        at java.lang.Thread.run(Thread.java:744)
Caused by: org.apache.zookeeper.KeeperException$NoNodeException: KeeperErrorCode = NoNode for /xd/deployments/jobs/filetsjob-newjob001/status
        at org.apache.zookeeper.KeeperException.create(KeeperException.java:111)
        at org.apache.zookeeper.KeeperException.create(KeeperException.java:51)
        at org.apache.zookeeper.ZooKeeper.setData(ZooKeeper.java:1270)
        at org.apache.curator.framework.imps.SetDataBuilderImpl$4.call(SetDataBuilderImpl.java:274)
        at org.apache.curator.framework.imps.SetDataBuilderImpl$4.call(SetDataBuilderImpl.java:270)
        at org.apache.curator.RetryLoop.callWithRetry(RetryLoop.java:107)
        at org.apache.curator.framework.imps.SetDataBuilderImpl.pathInForeground(SetDataBuilderImpl.java:266)
        at org.apache.curator.framework.imps.SetDataBuilderImpl.forPath(SetDataBuilderImpl.java:253)
        at org.apache.curator.framework.imps.SetDataBuilderImpl.forPath(SetDataBuilderImpl.java:41)
        at org.springframework.xd.dirt.server.JobDeploymentListener.deployJob(JobDeploymentListener.java:165)
        ... 7 more
13 Oct 2014 14:17:10,553   INFO DeploymentSupervisorCacheListener-0 server.InitialDeploymentListener - Path cache event: /deployments/jobs/filetsjob-newjob001, type: CHILD_ADDED

",XD-2241,Venkatesh Sivasubramanian,NoNode Exception in SpringXD Admin
1515,,Ilayaperumal Gopinathan,"Please see the discussion here:

https://github.com/spring-projects/spring-xd/pull/1188#discussion_r18788216",XD-2240,Ilayaperumal Gopinathan,Redis sink: better handling of module options/profile activation
1516,Gunnar Hillert,Sabby Anandan,"The XD Container IP address displayed on both 'singlenode' and Distributed modes are incorrect both on _Shell_ as well as _Admin-UI_. 

*Example:*
Noticed IP address as 10.10.10.*

Following function in [RuntimeUtils|http://docs.spring.io/autorepo/docs/spring-xd/1.0.1.RELEASE/api/org/springframework/xd/dirt/util/RuntimeUtils.html] could be flawed:
{code}
public static String getIpAddress() {
	try {
		for(Enumeration<NetworkInterface> enumNic = NetworkInterface.getNetworkInterfaces();
				enumNic.hasMoreElements();) {
			NetworkInterface ifc = enumNic.nextElement();
			if (ifc.isUp()) {
				for (Enumeration<InetAddress> enumAddr = ifc.getInetAddresses();
						enumAddr.hasMoreElements(); ) {
					InetAddress address = enumAddr.nextElement();
					if (address instanceof Inet4Address && !address.isLoopbackAddress()) {
						return address.getHostAddress();
					}
				}
			}
		}
	}
	catch (IOException e) {
		// ignore
	}

	return ""unknown"";
}
{code}
",XD-2239,Sabby Anandan,Fix incorrect IP Address associated with containers
1517,Patrick Peralta,Patrick Peralta,"When a container joins the XD cluster (via ZooKeeper) it triggers stream/job module deployments for modules that need to be deployed. If multiple containers are being started at around the same time, this can result in the first few containers taking all of the deployments while leaving the rest without any deployments.

To solve this, we will introduce a ""quiet period"" where no deployments will be triggered within _n_ seconds of a container joining, where _n_ will have a default value (perhaps 5 to 10 seconds). This value will be configurable.",XD-2238,Patrick Peralta,Improve module deployment distribution
1518,David Turanski,David Turanski,,XD-2237,David Turanski,Provide Python module to handle I/O for implementing a Python shell processor 
1519,,Peter Rietzler,"Cannot use a JSON null value as job paramter value, e.g. 

{code}
job launch --params {""name"":null}
{code}

The problem seems to be the usage of a HashTable, which does not allow null values.

{code}
Caused by: java.lang.NullPointerException
	at java.util.Hashtable.put(Hashtable.java:459)
	at java.util.Hashtable.putAll(Hashtable.java:523)
	at org.springframework.xd.dirt.plugins.job.ExpandedJobParametersConverter.getJobParametersForMap(ExpandedJobParametersConverter.java:191)
	at org.springframework.xd.dirt.plugins.job.ExpandedJobParametersConverter.getJobParametersForJsonString(ExpandedJobParametersConverter.java:177)
	at org.springframework.xd.dirt.plugins.job.JobLaunchRequestTransformer.toJobLaunchRequest(JobLaunchRequestTransformer.java:128)
	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)
	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
	at java.lang.reflect.Method.invoke(Method.java:483)
	at org.springframework.expression.spel.support.ReflectiveMethodExecutor.execute(ReflectiveMethodExecutor.java:63)
	at org.springframework.expression.spel.ast.MethodReference.getValueInternal(MethodReference.java:122)
	at org.springframework.expression.spel.ast.MethodReference.access$000(MethodReference.java:44)
	at org.springframework.expression.spel.ast.MethodReference$MethodValueRef.getValue(MethodReference.java:258)
	at org.springframework.expression.spel.ast.CompoundExpression.getValueInternal(CompoundExpression.java:84)
	at org.springframework.expression.spel.ast.SpelNodeImpl.getTypedValue(SpelNodeImpl.java:114)
	at org.springframework.expression.spel.standard.SpelExpression.getValue(SpelExpression.java:111)
	at org.springframework.integration.util.AbstractExpressionEvaluator.evaluateExpression(AbstractExpressionEvaluator.java:159)
	at org.springframework.integration.util.MessagingMethodInvokerHelper.processInternal(MessagingMethodInvokerHelper.java:268)
	at org.springframework.integration.util.MessagingMethodInvokerHelper.process(MessagingMethodInvokerHelper.java:142)
	at org.springframework.integration.handler.MethodInvokingMessageProcessor.processMessage(MethodInvokingMessageProcessor.java:75)
	... 62 more 
{code}",XD-2236,Peter Rietzler,Cannot send null values as job parameters
1520,Marius Bogoevici,Marius Bogoevici,"Besides the Basic authentication realm being always {{null}}, {{security.basic.realm}} is always ignored.",XD-2235,Marius Bogoevici,Basic authentication realm is always 'null'
1521,,Peter Bulman,"the resource manager address overwrite is setting the port to 8032; the value cannot be set in servers.yml.  this occurs when pushing the config to hdfs and also when attempting to start the admin server on yarn.


 [ConfigurationFactoryBean] - Overwriting rmAddress=[0.0.0.0:8032] with rmAddress=[host:8032]

[root spring-xd-1.0.1.RELEASE-yarn]# ./bin/xd-yarn start admin

  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/
 :: Spring Boot ::        (v1.1.7.RELEASE)

2014-10-13 16:50:28,710 INFO [ConfiguringBeanFactoryPostProcessor] - No bean named 'taskScheduler' has been explicitly defined. Therefore, a default ThreadPoolTaskScheduler will be created.
2014-10-13 16:50:28,724 INFO [ConfiguringBeanFactoryPostProcessor] - No bean named 'taskExecutor' has been explicitly defined. Therefore, a default SyncTaskExecutor will be created.
2014-10-13 16:50:30,311 INFO [SpringYarnConfiguration] - Enabling CLIENT for Yarn
2014-10-13 16:50:30,335 INFO [SpringYarnConfiguration] - We couldn't figure out if we could use existing configuration
2014-10-13 16:50:30,335 INFO [SpringYarnConfiguration] - Building configuration for bean 'yarnConfiguration'
2014-10-13 16:50:30,383 INFO [SpringYarnConfigBuilder] - Existing yarnConfiguration: null
2014-10-13 16:50:30,658 INFO [ConfigurationFactoryBean] - Overwriting fsUri=[hdfs://host:8020] with fsUri=[hdfs://host:8020]
2014-10-13 16:50:30,659 INFO [ConfigurationFactoryBean] - Overwriting rmAddress=[0.0.0.0:8032] with rmAddress=[host:8032]




",XD-2234,Peter Bulman,Incorrect port in resource manager address overwrite
1522,,Thomas Darimont,"The current representation of REST resources of time-series data (e.g. aggregate counter) can lead to problems in consuming applications.

Despite the time series data provided by the ""counts"" data structure is logically ordered by key (timestamps) it doesn't guarantee an ordering, since many consuming applications interpret JSON data as an unordered map like data structure.

Because of this consuming applications have to apply special ordering / transformation logic to get the data in an chronologically ordered fashion. It would be helpful if one could configure the rendering of the time series data, e.g. as a list of json object like:
{code:json}
{
 ""ts"":""Sun Oct 12 23:10:23 CEST 2014""
 ,""value"": 42
} 
{code}
Where {{ts}} denotes the timestamp and {{value}} denotes the value. It would also be helpful if one could adjust the date format either with a pattern or a well known date format like, c.f.  {{ISO 8601}}.

I attached a python example for this that demonstrates the problem.

Steps to reproduce:
Create stream
{code}
xd:>stream create test --definition ""http | filter --expression=payload.contains('pivotal') | log""
{code}

Create tap on stream with aggregate-counter
{code}
xd:>stream create test_tap --definition ""tap:stream:test.filter > aggregate-counter""
{code}

Post some http data
{code}
xd:>http post --data ""Hello pivotal data labs""
#...some more data...
{code}

Display aggregate counter
{code}
xd:>aggregate-counter display test_tap --resolution minute
  AggregateCounter=test_tap
  -----------------------------  -  -----
  TIME                           -  COUNT
  Sun Oct 12 23:10:23 CEST 2014  |  0
  Sun Oct 12 23:11:23 CEST 2014  |  0
  Sun Oct 12 23:12:23 CEST 2014  |  0
  Sun Oct 12 23:13:23 CEST 2014  |  0
  ...
  Mon Oct 13 00:02:23 CEST 2014  |  0
  Mon Oct 13 00:03:23 CEST 2014  |  0
  Mon Oct 13 00:04:23 CEST 2014  |  0
  Mon Oct 13 00:05:23 CEST 2014  |  0
  Mon Oct 13 00:06:23 CEST 2014  |  0
  Mon Oct 13 00:07:23 CEST 2014  |  0
  Mon Oct 13 00:08:23 CEST 2014  |  3
  Mon Oct 13 00:09:23 CEST 2014  |  1
{code}

Install python Requests library (REST support)
{code}
pip install Requests
{code}

Start a python console (or IPythonNotebook) and run the following program:
{code:python}
import requests
import json

res = requests.get(""http://localhost:9393/metrics/aggregate-counters/test_tap?resolution=minute"")
status_object = json.loads(res.content)
print(json.dumps(status_object, indent=4))
{code}

The above program should result in a similar output, but as one can see, due to pythons interpretation of the JSON object as a dict, the order of the keys in the output got mixed up. 

Instead of showing the counts ....3 and then 1 ... as in the example above. This is just one example of how the current representation of the rest resource could lead to problems in consuming applications.  
{code:json}
{
    ""counts"": {
        ""2014-10-12T21:26:28.553Z"": 0,
        ""2014-10-12T22:15:28.553Z"": 0,
        ""2014-10-12T22:22:28.553Z"": 0,
        ""2014-10-12T21:49:28.553Z"": 0,
        ""2014-10-12T21:35:28.553Z"": 0,
        ""2014-10-12T21:47:28.553Z"": 0,
        ""2014-10-12T22:18:28.553Z"": 0,
        ""2014-10-12T22:12:28.553Z"": 0,
        ""2014-10-12T22:16:28.553Z"": 0,
        ""2014-10-12T21:57:28.553Z"": 0,
        ""2014-10-12T21:28:28.553Z"": 0,
        ""2014-10-12T22:08:28.553Z"": 3,
        ""2014-10-12T21:40:28.553Z"": 0,
        ""2014-10-12T22:06:28.553Z"": 0,
        ""2014-10-12T21:27:28.553Z"": 0,
        ""2014-10-12T21:52:28.553Z"": 0,
        ""2014-10-12T22:11:28.553Z"": 0,
        ""2014-10-12T22:05:28.553Z"": 0,
        ""2014-10-12T21:29:28.553Z"": 0,
        ""2014-10-12T21:24:28.553Z"": 0,
        ""2014-10-12T21:56:28.553Z"": 0,
        ""2014-10-12T21:43:28.553Z"": 0,
        ""2014-10-12T22:00:28.553Z"": 0,
        ""2014-10-12T22:10:28.553Z"": 0,
        ""2014-10-12T21:58:28.553Z"": 0,
        ""2014-10-12T22:21:28.553Z"": 0,
        ""2014-10-12T21:32:28.553Z"": 0,
        ""2014-10-12T21:46:28.553Z"": 0,
        ""2014-10-12T22:04:28.553Z"": 0,
        ""2014-10-12T22:02:28.553Z"": 0,
        ""2014-10-12T21:51:28.553Z"": 0,
        ""2014-10-12T21:38:28.553Z"": 0,
        ""2014-10-12T21:31:28.553Z"": 0,
        ""2014-10-12T22:20:28.553Z"": 0,
        ""2014-10-12T21:54:28.553Z"": 0,
        ""2014-10-12T22:07:28.553Z"": 0,
        ""2014-10-12T22:03:28.553Z"": 0,
        ""2014-10-12T21:34:28.553Z"": 0,
        ""2014-10-12T22:09:28.553Z"": 1,
        ""2014-10-12T21:44:28.553Z"": 0,
        ""2014-10-12T22:17:28.553Z"": 0,
        ""2014-10-12T21:53:28.553Z"": 0,
        ""2014-10-12T22:19:28.553Z"": 0,
        ""2014-10-12T21:30:28.553Z"": 0,
        ""2014-10-12T22:23:28.553Z"": 0,
        ""2014-10-12T21:36:28.553Z"": 0,
        ""2014-10-12T21:41:28.553Z"": 0,
        ""2014-10-12T22:13:28.553Z"": 0,
        ""2014-10-12T21:59:28.553Z"": 0,
        ""2014-10-12T22:01:28.553Z"": 0,
        ""2014-10-12T21:33:28.553Z"": 0,
        ""2014-10-12T21:45:28.553Z"": 0,
        ""2014-10-12T21:39:28.553Z"": 0,
        ""2014-10-12T21:50:28.553Z"": 0,
        ""2014-10-12T21:37:28.553Z"": 0,
        ""2014-10-12T22:14:28.553Z"": 0,
        ""2014-10-12T21:25:28.553Z"": 0,
        ""2014-10-12T21:55:28.553Z"": 0,
        ""2014-10-12T21:42:28.553Z"": 0,
        ""2014-10-12T21:48:28.553Z"": 0
    },
    ""name"": ""test_tap"",
    ""links"": [
        {
            ""href"": ""http://localhost:9393/metrics/aggregate-counters/test_tap"",
            ""rel"": ""self""
        }
    ]
}
{code}",XD-2233,Thomas Darimont,REST representation of an aggregate-counter can lead to mixed up output
1523,,Thomas Darimont,"Often it is useful to have access to the median value for fields of a data stream since they are more robust with respect to outliers.

The median is defined as the value of a dataset such that, when sorted, 50% of the data is smaller than the value and 50% of the data is larger then the value. Ordinarily this is difficult to calculate on a stream because it requires the collection and sorting of all data.

The median of a data stream can be approximated with a technique called stochastic averaging. To approximate the median value of a data stream one could use the following approach:
Given the current estimate of the median {{M}}. If the next observed value in the stream is larger than {{M}}, increase the current estimate by {{r}} (= the learning rate). If it is smaller, decrease the estimate by {{r}}. When {{M}} is close to the median, it increases as often as it decreases, and therefore it stabilizes.


The following example shows a primitive implementation of the above mentioned algorithm in groovy (to be placed under ${XD_HOME}/modules/processor/scripts).
{code:groovy}
import org.springframework.xd.tuple.TupleBuilder;
import org.springframework.xd.tuple.Tuple;

/**
 * Stochastic averaging to compute the median of a data stream.
 * To approximate this value using stochastic optimization, the value
 * of interest is the current estimate of the median M. If the next observed 
 * value of the stream is larger than M, increase by r. If it is smaller decrease the
 * estimate by r. When M is close to the median, it increases as often as it decreases,
 * and therefore stablilizes.
 * r denotes the learningRate.
 */
enum MedianEstimator{
  
  INSTANCE

  //TODO Add support for estimating multiple medians
  /*
   * The current median value.
   */
  double current = Double.POSITIVE_INFINITY
  
  public double update(double value, double learningRate){
    
    //Initialize current with given value
    if(current == Double.POSITIVE_INFINITY){
       current = value
    }
    
    if(current == value){
      return current
    }

    //Move current value towards the median
    current = current + (current < value ? learningRate : -learningRate)

    return current
  }
}

//TODO Make learning rate configurable
def learningRate = 0.7
//TODO Add support for dynamic field selection.
double median = MedianEstimator.INSTANCE.update(payload.getDouble('value'), learningRate)

def fieldNames = new ArrayList<String>(payload.getFieldNames())
def fieldValues = new ArrayList<Object>(payload.getValues())

//TODO Add make median output field configurable
fieldNames.add(""value_median"")
fieldValues.add(median)

//Return the original tuple values extended with the computed median.
TupleBuilder.tuple().ofNamesAndValues(fieldNames, fieldValues)
{code}

Stream definition:
{code}
xd:>stream create median --definition ""http --outputType=application/x-xd-tuple | script --location=median-est.groovy | log"" --deploy
Created and deployed new stream 'median'
{code}

Post some JSON data...
{code}
xd:>http post --contentType application/json --data '{""value"":2}'
> POST (application/json;charset=UTF-8) http://localhost:9000 {""value"":2}
> 200 OK
{code}

Output:
{code}
20:44:37,829  INFO pool-35-thread-4 sink.median - {""id"":""cd9719b3-eeff-59c9-fdf1-fdb628c7fbb8"",""timestamp"":1413139477829,""value"":""2"",""value_median"":2.0}
{code}

... After ~15 the median value should stabilize.

This approach was taken from the book ""Real-time Analytics - Techniques to Analyze and Visualize Streaming Data"" P. 296 / Byron Ellis / Wiley

Open points:
- Support for resetting the median value
- Better state management (Redis?)
- Support median estimation for multiple fields
- Make learning rate configurable from outside
- Maybe add this as aggregate-counter aggregation strategy?",XD-2232,Thomas Darimont,Add support for estimating the median value of a data stream.
1524,Michael Minella,Sabby Anandan,"As a user, I'd like to have the flexibility to configure DB creds so that I can use a DB of choice for batch job repository (metadata persistence). 

The scope of this task is to have the configuration specifics documented in the wiki.",XD-2231,Sabby Anandan,Document job repo schema overrides
1525,David Turanski,Sabby Anandan,"As a user, I'd like to leverage _propertieis-location_ parameter while using *Filter* or *Transform* modules so that I can load the user-defined properties included in the external properties file. 

Attempting to include the _propertieis-location_ attribute errors out - refer to the attachment.

It could also be beneficial to load user-defined properties through stream definition similar to deployment properties.

Example:
--script=myscript.groovy --variables=foo=bar,goo=gaz
",XD-2230,Sabby Anandan,Fix the configuration problem with Filter and Transform modules
1526,,Glenn Renfro,"In this scenario I copied 2 files (fakeFile.csv, anotherFile.csv) into the bar directory.  
* Created thew following job:
job create myjob2 --definition ""filejdbc --resources=file:bar/*.csv --names=name --tableName=people2 --initializeDatabase=true --commitInterval=1 --deleteFiles=true"" --deploy
* Then launched the job:
job launch myjob2

* The result was that the first file was processed, but then the module deleted all *.csv files in the directory before processing the 2nd file.  
* The net result was that the job failed and the 2nd file was not processed.
",XD-2229,Glenn Renfro,When using --deletefile option for filejdbc all files are deleted before processing complete
1527,Marius Bogoevici,Sabby Anandan,"As a user, I'd like to type the _username_ and _password_ to gain access to Admin server so that I don't have to add it in some file; hence I don't have to worry about having the password getting logged somewhere.",XD-2228,Sabby Anandan,Remove logging of password in Shell
1528,Glenn Renfro,Glenn Renfro,"XD-2180 introduced a default commit level for jobs to be 1000, vs the original 100.  Now tests sporadically fail.  Need to set the --commitInterval for the tests to a small value.",XD-2227,Glenn Renfro,Need to set small commit level for Acceptance tests.  
1529,Mark Fisher,Sabby Anandan,"As a user, I'd like to have the flexibility to change the namespace so that I can isolate ZK _metadata_ based on each _tenant_ profile. ",XD-2226,Sabby Anandan,Add support for configurable ZK namespace
1530,Gunnar Hillert,Gunnar Hillert,"Implement pagination for:

http://localhost:9393/jobs/executions",XD-2225,Gunnar Hillert,REST: Make the Job Execution REST endpoint pagination-aware
1531,Ilayaperumal Gopinathan,Gunnar Hillert,"Add pagination for:

http://localhost:9393/jobs/configurations

Related to XD-1864",XD-2224,Gunnar Hillert,REST: Make the Configurations REST endpoint pagination-aware
1532,Gunnar Hillert,Gunnar Hillert,"With the implementation of XD-1864, we need to make sure that the (paginated) data returned from the REST endpoints has proper default ordering.

Up to now we have done client-side ordering in the Admin UI, but with server-side pagination, the server-side should support proper pagination as well.

Eventually, we may even decide to provide more flexible ordering options (ASC vs DESC, sort on different properties etc.), which may be a separate Jira.",XD-2223,Gunnar Hillert,Provide proper ordering for all REST endpoints
1533,David Turanski,David Turanski,"see ModuleDeployer.setApplicationContext(). It appears the shared server context (child of global) is incorrectly set as the module context's parent. However, the first attempt caused some test failures, so this needs further investigation. Things still function correctly, but is not according to design. ",XD-2222,David Turanski,global context reference is incorrect in ModuleDeployer
1534,,Sabby Anandan,"As a user, I'd like to have the ability to configure ACLs so that I can restrict access to resources accessed via Admin UI.

*Examples:*
* Who can create streams?
* Who can destroy the streams?
* Who can view the streams? ??(defaults to all)??",XD-2220,Sabby Anandan,Add support to configure security definitions via Admin UI (ACL)
1535,,Sabby Anandan,"As a user, I'd like to have the ability to configure ACLs so that I can restrict access to resources accessed via DSL Shell.

*Examples:*
* Who can create streams?
* Who can destroy the streams?
* Who can view the streams? ??(defaults to all)??",XD-2219,Sabby Anandan,Add support to configure security definitions via Shell (ACL)
1536,,Sabby Anandan,"As a user, I'd like to define security definitions so that I can configure entity (REST API) specific group/role access policies.",XD-2218,Sabby Anandan,Add support to define granular security definitions by entity (ACL)
1537,,Mark Pollack,The change in XD 1.0.1 to use Spring Boot 1.1.7 meant that we can't pickup the boot dependency by importing the platform-bom.  Andy W's suggestion is to change the generated pom to refer to the platform-bom as a parent (not import) and then declare the explicit dependency on Boot 1.1.7,XD-2217,Mark Pollack,Generated pom does not include spring boot 1.1. dependency
1538,Gary Russell,Sabby Anandan,"As a user, I'd like to have Spring 'Core' upgraded to 4.1.1 (_milestone_ ) so that I can benefit from performance improvements associated with 'compiled' SpEL and other enhancements. 
",XD-2216,Sabby Anandan,"Upgrade to Spring 4.1.2, SI 4.1.0, SA 1.4.0"
